t_sample,cpu_pct,rss_mb
1777235974.4622388,66.0,809.9375
1777235975.4708622,66.4,811.3671875
1777235976.5132036,65.2,813.17578125
1777235977.5195167,64.6,813.2578125
1777235978.5435188,69.3,814.11328125
1777235979.5444744,63.9,815.09765625
1777235980.5718334,72.0,815.77734375
1777235981.6163008,60.3,815.77734375
1777235982.621807,67.6,816.09375
1777235983.6270187,70.6,816.09375
1777235984.6501772,66.5,816.09765625
1777235985.6559398,70.6,816.09765625
1777235986.664934,64.4,816.09765625
1777235987.7134287,67.7,816.625
1777235988.722773,65.4,816.81640625
1777235989.7400727,68.8,816.81640625
1777235990.7507625,68.3,816.81640625
1777235991.764538,67.1,816.99609375
1777235992.8068843,62.4,816.99609375
1777235993.8154697,65.4,817.203125
1777235994.8183706,65.8,817.203125
1777235995.8492112,71.8,817.203125
1777235996.8583298,68.4,817.30859375
1777235997.8952773,74.3,817.30859375
1777235998.9169462,63.6,817.30859375
1777235999.9426107,65.3,817.30859375
1777236000.944161,71.9,817.30859375
1777236001.9538767,62.4,817.30859375
1777236002.9736857,70.6,817.30859375
1777236004.0181923,60.3,817.30859375
1777236005.0343642,65.9,817.30859375
1777236006.0475001,70.1,817.4453125
1777236007.0558703,68.4,817.4453125
1777236008.056826,65.9,817.546875
1777236009.0690448,69.2,817.546875
1777236010.1180851,66.7,817.546875
1777236011.1464202,70.0,817.546875
1777236012.148706,63.9,819.1796875
1777236013.166007,77.7,819.1796875
1777236014.1710727,64.7,820.1640625
1777236015.2128608,63.4,820.1640625
1777236016.2260177,58.2,820.1640625
1777236017.2437222,80.6,820.1640625
1777236018.2466388,62.8,820.1640625
1777236019.261106,69.0,820.1640625
1777236020.2751303,66.1,820.1640625
1777236021.3205504,58.4,820.1640625
1777236022.346377,67.3,820.1640625
1777236023.3551903,50.6,820.1640625
1777236024.3704824,25.6,820.1640625
1777236025.4205856,134.3,808.13671875
1777236026.4452648,76.1,824.0546875
1777236027.4459953,66.0,824.3515625
1777236028.4478488,67.9,824.3515625
1777236029.4532907,71.6,824.42578125
1777236030.4694116,61.0,824.51171875
1777236031.5175412,63.0,824.51171875
1777236032.51901,66.9,824.51171875
1777236033.548584,69.0,824.51171875
1777236034.5705278,68.5,824.51171875
1777236035.5710983,61.0,824.51171875
1777236036.6192567,59.2,824.51171875
1777236037.630397,61.3,824.51171875
1777236038.6439278,61.2,824.51171875
1777236039.6473134,61.8,824.51171875
1777236040.6539135,61.6,824.51171875
1777236041.6695232,62.0,824.51171875
1777236042.669996,63.0,824.51171875
1777236043.7140634,62.3,824.51171875
1777236044.7560065,67.2,824.51171875
1777236045.77558,61.8,824.51171875
1777236046.815893,63.4,824.51171875
1777236047.8205938,66.7,824.51171875
1777236048.843483,67.5,824.51171875
1777236049.8437712,74.0,824.51171875
1777236050.85541,66.2,824.51171875
1777236051.8613048,58.7,824.51171875
1777236052.8686082,64.5,824.51171875
1777236053.8688495,61.0,824.51171875
1777236054.8699718,68.9,824.51171875
1777236055.8706095,63.0,824.51171875
1777236056.9196548,67.7,824.51171875
1777236057.9226294,56.8,824.51171875
1777236058.9227014,64.0,824.51171875
1777236059.9411478,59.9,824.51171875
1777236060.9551344,65.1,824.51171875
1777236061.9788496,61.5,824.51171875
1777236063.017197,54.9,824.51171875
1777236064.0298452,62.2,824.51171875
1777236065.0576813,64.2,824.51171875
1777236066.0724323,60.1,824.51171875
1777236067.1173482,56.5,824.51171875
1777236068.118287,63.9,824.51171875
1777236069.121468,60.8,824.51171875
1777236070.1577556,69.5,824.51171875
1777236071.1665275,60.5,824.51171875
1777236072.1769886,68.3,824.515625
1777236073.2226112,62.2,824.515625
1777236074.2267313,71.7,824.5234375
1777236075.2534177,67.2,824.5234375
1777236076.26392,62.3,824.52734375
1777236077.3132353,56.2,824.52734375
1777236078.3189328,67.6,824.53515625
1777236079.33125,57.3,824.53515625
1777236080.356484,63.4,824.5390625
1777236081.3673766,59.4,824.5390625
1777236082.3803842,67.1,824.546875
1777236083.4197962,64.5,824.546875
1777236084.4264233,52.7,824.55078125
1777236085.4471467,31.3,824.55078125
1777236086.476356,107.9,824.66015625
1777236087.4766185,110.0,825.0234375
1777236088.5264435,70.5,825.41015625
1777236089.531691,74.6,825.41015625
1777236090.547059,68.9,825.41015625
1777236091.5616853,66.0,825.41015625
1777236092.5681546,65.6,825.41015625
