t_sample,cpu_pct,rss_mb
1777236414.5749545,62.7,795.86328125
1777236415.5773768,62.8,797.29296875
1777236416.5775054,62.0,799.1015625
1777236417.581372,61.8,799.18359375
1777236418.5824468,68.9,800.0390625
1777236419.5824802,68.0,800.94921875
1777236420.5913925,63.4,801.703125
1777236421.6297102,53.0,801.703125
1777236422.6367245,65.5,802.01953125
1777236423.6388094,67.9,802.01953125
1777236424.6772444,72.2,802.0234375
1777236425.684361,67.5,802.0234375
1777236426.7333717,63.9,802.0234375
1777236427.7422345,69.4,802.55078125
1777236428.7468152,72.7,802.7421875
1777236429.7804508,63.9,802.7421875
1777236430.790043,65.4,802.7421875
1777236431.7946575,63.7,802.921875
1777236432.8342621,66.4,802.921875
1777236433.8380373,68.7,803.12890625
1777236434.8760965,64.5,803.12890625
1777236435.8820658,61.6,803.12890625
1777236436.8838725,63.9,803.234375
1777236437.8863368,65.8,803.234375
1777236438.8888724,55.9,803.234375
1777236439.889561,61.0,803.234375
1777236440.9299276,53.8,803.234375
1777236441.930964,57.9,803.234375
1777236442.9805784,60.0,803.234375
1777236443.9808798,62.0,803.234375
1777236445.0290918,61.1,803.234375
1777236446.0528004,60.6,803.37109375
1777236447.0767565,64.4,803.37109375
1777236448.084973,57.5,803.37109375
1777236449.0944114,63.4,803.47265625
1777236450.1322148,56.8,803.47265625
1777236451.1328957,64.0,803.47265625
1777236452.1429777,57.4,803.47265625
1777236453.1848917,62.4,805.10546875
1777236454.1909876,59.6,806.08984375
1777236455.2321079,56.7,806.08984375
1777236456.235031,57.8,806.08984375
1777236457.275954,64.4,806.08984375
1777236458.3019464,61.4,806.08984375
1777236459.3408813,59.7,806.08984375
1777236460.3787465,63.6,806.08984375
1777236461.3845062,64.6,806.08984375
1777236462.4296718,56.5,806.08984375
1777236463.446074,50.2,806.08984375
1777236464.4759789,26.2,806.08984375
1777236465.4893112,88.8,783.47265625
1777236466.5300534,101.9,809.98046875
1777236467.532975,58.8,810.27734375
1777236468.5777326,65.1,810.3515625
1777236469.5777972,67.0,810.3515625
1777236470.5780146,66.0,810.4375
1777236471.5805058,61.8,810.4375
1777236472.5839949,59.8,810.4375
1777236473.5841274,60.0,810.4375
1777236474.587608,68.8,810.4375
1777236475.6345096,56.4,810.4375
1777236476.6362484,61.9,810.4375
1777236477.678939,65.2,810.4375
1777236478.6795425,58.0,810.4375
1777236479.682595,62.8,810.4375
1777236480.6908586,61.5,810.4375
1777236481.6917405,61.9,810.4375
1777236482.7386003,63.0,810.4375
1777236483.7410743,65.8,810.4375
1777236484.7792742,68.4,810.4375
1777236485.7822847,59.8,810.4375
1777236486.7908287,65.4,810.4375
1777236487.8328824,60.5,810.4375
1777236488.8377569,66.7,810.4375
1777236489.8443475,70.5,810.4375
1777236490.8783944,63.8,810.4375
1777236491.8797667,62.9,810.4375
1777236492.8822994,70.8,810.4375
1777236493.93131,57.2,810.4375
1777236494.9546013,67.4,810.4375
1777236495.975597,66.6,810.4375
1777236496.9800668,61.7,810.4375
1777236498.0276415,59.2,810.4375
1777236499.0337064,56.7,810.4375
1777236500.0812697,58.2,810.4375
1777236501.0928202,62.3,810.4375
1777236502.1370726,58.4,810.4375
1777236503.1554127,55.0,810.4375
1777236504.1790466,63.5,810.4375
1777236505.1806967,56.9,810.4375
1777236506.1951485,59.1,810.4375
1777236507.2350795,59.6,810.4375
1777236508.2467976,55.4,810.4375
1777236509.2863503,64.4,810.4375
1777236510.331487,57.4,810.4375
1777236511.338085,59.6,810.4375
1777236512.346567,54.5,810.44140625
1777236513.3766952,66.0,810.44140625
1777236514.3796434,55.8,810.44921875
1777236515.401326,61.7,810.44921875
1777236516.4318438,54.3,810.453125
1777236517.4409692,62.4,810.453125
1777236518.4470685,59.6,810.4609375
1777236519.4773278,60.2,810.4609375
1777236520.490077,57.3,810.46484375
1777236521.5368192,58.3,810.46484375
1777236522.5428367,53.7,810.47265625
1777236523.5803833,57.8,810.47265625
1777236524.5825238,43.9,810.4765625
1777236525.5860622,21.9,810.4765625
1777236526.6281912,119.0,810.87890625
1777236527.6421404,58.2,811.1171875
1777236528.6428218,58.0,811.50390625
1777236529.6489408,62.6,811.50390625
1777236530.67952,67.0,811.50390625
1777236531.6836383,62.7,811.50390625
1777236532.693065,57.5,811.50390625
